index,name,category
892,HallOrch 2,-1
893,Orch Brass,-1
894,DX-Trpt 1,-1
895,DX-Trpt 2,-1
896,DX-Trpt 3,-1
897,DX-Trpt 4,-1
898,DX-Trpt 5,-1
899,DX-Trpt 6,-1
900,SilverTrpt,-1
901,Solo Trpt,-1
902,SynTrumpet,-1
903,Trumponica,-1
904,DX-Trb 1,-1
905,DX-Trb 2,-1
906,DX-Trb 3,-1
907,Mute Trb,-1
908,DX-Tuba 1,-1
909,DX-Tuba 2,-1
910,DX-Tuba 3,-1
911,DX-Horn,-1
912,Hornz,-1
913,Alps Horn,-1
914,BlunchHorn,-1
915,Horn Ens,-1
916,MelowHorn1,-1
917,MelowHorn2,-1
918,SimpleHorn,-1
919,Syn Horns,-1
920,Vibra Horn,-1
921,DX-Brass 1,-1
922,DX-Brass 2,-1
923,Attack Brs,-1
924,Brasstring,-1
925,DX-BrsSec1,-1
926,DX-BrsSec2,-1
927,MM-Brass 1,-1
928,MM-Brass 2,-1
929,MM-Brass 3,-1
930,5th Brass,-1
931,Blow Brass,-1
932,Brass Sect,-1
933,Chorus Brs,-1
934,Fanfare,-1
935,Hard Brass,-1
936,Sample Brs,-1
937,Single Brs,-1
938,ThickBrass,-1
939,TightBrs 1,-1
940,TightBrs 2,-1
941,DX-SynBr 1,-1
942,DX-SynBr 2,-1
943,DX-SynBr 3,-1
944,DX-SynBr 4,-1
945,DX-SynBr 5,-1
946,DX-SynBr 6,-1
947,DX-SynBr 7,-1
948,FilterHorn,-1
949,SharpBrass,-1
950,Synthorns,-1
951,CS80-Brs 1,-1
952,CS80-Brs 2,-1
953,Ana Poly,-1
954,AnaFatBrs,-1
955,AnalogBrs,-1
956,Faze Brass,-1
957,Brassy,-1
958,Court,-1
959,DX-FatBrs,-1
960,RezAttack,-1
961,FunkyRhytm,-1
962,Chiffhorns,-1
963,Juice,-1
964,Kingdom,-1
965,PowerDrive,-1
966,Rahool Brs,-1
967,SyntiBrs,-1
968,UltraDrive,-1
969,Warm Brass,-1
970,SopranoSax,-1
971,DX-ASax 1,-1
972,DX-ASax 2,-1
973,Alto Sax,-1
974,DX-Tsax,-1
975,TenorSax,-1
976,Tenorsaxes,-1
977,Oboe 1,-1
978,Oboe 2,-1
979,Oboe 3,-1
980,Eng.Horn,-1
981,Bassoon,-1
982,DX-Clari 1,-1
983,DX-Clari 2,-1
984,Clari Solo,-1
985,Slow Clari,-1
986,VibratoCla,-1
987,Piccolo 1,-1
988,Piccolo 2,-1
989,DX-Flute 1,-1
990,DX-Flute 2,-1
991,DX-Flute 3,-1
992,DX-Flute 4,-1
993,DX-Flute 5,-1
994,DX-Flute 6,-1
995,DX-Flute 7,-1
996,Air Blower,-1
997,MetalFlute,-1
998,Song Flute,-1
999,Recorder 1,-1
1000,Recorder 2,-1
1001,Recorder 3,-1
1002,DX-PnFlute,-1
1003,Harvest,-1
1004,Fuhppps!,-1
1005,DX-Bottle,-1
1006,Quena,-1
1007,Whistle 1,-1
1008,Whistle 2,-1
1009,Whistle 3,-1
1010,Sukiyaki,-1
1011,SambaWhstl,-1
1012,Cosmowhist,-1
1013,DX-Ocrn 1,-1
1014,DX-Ocrn 2,-1
1015,DX-Ocrn 3,-1
1016,DX-Sitar 1,-1
1017,DX-Sitar 2,-1
1018,Ethre Four,-1
1019,India,-1
1020,Juice Harp,-1
1021,Syntholin,-1
1022,Pilgrim,-1
1023,Tenjiku,-1
1024,Ukabanjo,-1
1025,Xango,-1
1026,Xanu,-1
1027,Zimbalon,-1
1028,DX-Banjo,-1
1029,Shamisen 1,-1
1030,Shamisen 2,-1
1031,Shamisen 3,-1
1032,DX-Koto,-1
1033,DX-Klmb 1,-1
1034,DX-Klmb 2,-1
1035,DX-Klmb 3,-1
1036,DX-Klmb 4,-1
1037,DX-Klmb 5,-1
1038,DX-Bagpipe,-1
1039,DX-Fiddle,-1
1040,African,-1
1041,Bali,-1
1042,Tibetan,-1
1043,Charango,-1
1044,Gamelan 1,-1
1045,Gamelan 2,-1
1046,Gamelan 3,-1
1047,Kinzoku 1,-1
1048,Kinzoku 2,-1
1049,ScotchTone,-1
1050,DX-Agogo 1,-1
1051,DX-Agogo 2,-1
1052,DX-Bongo,-1
1053,Bongo,-1
1054,DX-Clave,-1
1055,DX-Perc,-1
1056,Block,-1
1057,Conga Drum,-1
1058,Cowbell,-1
1059,Flexatone,-1
1060,Glaeser,-1
1061,Log Drum,-1
1062,SmlShaker,-1
1063,Metal,-1
1064,Percud,-1
1065,RefrsWhstl,-1
1066,Seq Pluck,-1
1067,BigShaker,-1
1068,Side Stick,-1
1069,Perkabell,-1
1070,Spoon,-1
1071,DX-StelCan,-1
1072,Steel Can,-1
1073,DX-StelDr1,-1
